product_id,sku,product_name,category,subcategory,brand,price,cost,launch_date,color,size_options,material,is_active
07cf650c-3967-4999-be5f-dbd45b428913,MSWO00000,Essential Dresses 0,Womens_Clothing,Dresses,Essential,19.05,13.45,13/02/2025,Blue,S,Polyester,TRUE
63923dd9-4f2b-48fa-9aa0-f8c181e413a2,MSFO00001,Foodies Frozen 1,Food,Frozen,Foodies,10.76,7.09,08/12/2024,Red,XS,Cotton,TRUE
8ae19dd1-305a-4bf4-99ff-1197799336c4,MSFO00002,M&S Collection Deli 2,Food,Deli,M&S Collection,15.66,10.93,05/01/2025,White,S,Blend,TRUE
7754b1d9-60ab-4cd0-9452-11f8009af67d,MSFO00003,Limited Edition Bakery 3,Food,Bakery,Limited Edition,30.25,14.21,18/07/2025,Black,XL,Wool,TRUE
b9fcbeff-24df-469b-b128-ae3f82a95353,MSWO00004,Foodies Tops 4,Womens_Clothing,Tops,Foodies,7.98,4.1,12/05/2025,Green,M,Polyester,TRUE
09f32d98-934e-42b2-ac22-7f2f61c8c4b0,MSHO00005,Autograph Bedding 5,Home,Bedding,Autograph,19.85,13.22,18/06/2025,Black,XS,Wool,TRUE
461be93f-15e2-4dd3-8ddc-62918e31c7e2,MSFO00006,M&S Collection Ambient 6,Food,Ambient,M&S Collection,1.16,0.64,06/10/2024,Beige,L,Linen,TRUE
359d1719-7cce-4dbd-9b3d-d91e1b2818a5,MSBE00007,Essential Skincare 7,Beauty,Skincare,Essential,28.66,16.91,12/02/2025,Multi,OneSize,Linen,TRUE
cbb5ee3d-143c-4603-bd3a-97f80ba66a04,MSHO00008,Limited Edition Storage 8,Home,Storage,Limited Edition,6.47,4.69,28/09/2024,Beige,XS,Cotton,TRUE
f670316a-9292-4732-85df-2d7c6d7b215c,MSHO00009,Limited Edition Bedding 9,Home,Bedding,Limited Edition,1.78,1.04,09/04/2025,Multi,XS,Silk,TRUE
1a403315-0526-474b-accd-842266ed67a5,MSHO00010,Home Range Kitchen 10,Home,Kitchen,Home Range,7.46,4.94,29/08/2024,Green,S,Blend,TRUE
549ca55b-6ba9-476f-8b37-edeee764a841,MSWO00011,Per Una Leggings 11,Womens_Clothing,Leggings,Per Una,13.46,8.18,09/05/2025,White,OneSize,Polyester,TRUE
c2037c55-59d7-4c07-9d34-31dbe8229725,MSBE00012,Limited Edition Fragrance 12,Beauty,Fragrance,Limited Edition,7.1,3.44,14/07/2025,Beige,M,Cotton,TRUE
60dcc300-efa8-4ba6-90d0-d4f3a6c450b1,MSWO00013,Foodies Knitwear 13,Womens_Clothing,Knitwear,Foodies,28.58,15.27,29/04/2025,Green,XS,Polyester,FALSE
c3b17951-d991-4435-836d-6345e8696203,MSFO00014,Limited Edition Ambient 14,Food,Ambient,Limited Edition,25.54,14.28,01/10/2024,Beige,L,Silk,TRUE
04349e4c-a376-49dd-87b7-54fe538c88e6,MSBE00015,Essential Makeup 15,Beauty,Makeup,Essential,4.06,2.6,14/06/2025,Blue,S,Blend,TRUE
42fc69c0-a7d4-4550-9cf4-399d818d0bae,MSHO00016,Foodies Storage 16,Home,Storage,Foodies,1.72,1.33,25/07/2025,White,L,Wool,TRUE
38132edb-365d-4f9d-b7f5-094a32e611ce,MSME00017,Beauty Line Shorts 17,Mens_Clothing,Shorts,Beauty Line,4.76,3.68,11/03/2025,Red,XS,Cotton,TRUE
96dbcf84-2094-44d4-80f8-a30c9d310399,MSME00018,Autograph Outerwear 18,Mens_Clothing,Outerwear,Autograph,20.25,15.1,02/04/2025,Black,L,Linen,FALSE
a77f321a-d2f0-49d2-8756-9e3d2561e2ef,MSFO00019,M&S Collection Ambient 19,Food,Ambient,M&S Collection,12.47,6.8,30/09/2024,Beige,OneSize,Cotton,TRUE
a47db167-8bcd-4940-a727-6e12ebf5f094,MSFO00020,Home Range Ambient 20,Food,Ambient,Home Range,18.44,12.22,18/09/2024,Red,M,Silk,TRUE
fe7776fc-293d-40d8-94f6-7284ebae724e,MSWO00021,Per Una Knitwear 21,Womens_Clothing,Knitwear,Per Una,13.16,7.29,05/06/2025,White,XS,Blend,TRUE
