store_id,store_name,city,region
STORE_000,M&S Store 0,Charliebury,North West
STORE_001,M&S Store 1,Reesbury,London
STORE_002,M&S Store 2,Quinnton,South East
STORE_003,M&S Store 3,Hardybury,Wales
STORE_004,M&S Store 4,Edwardsmouth,Yorkshire
STORE_005,M&S Store 5,South Trevorhaven,London
STORE_006,M&S Store 6,Taylorton,North West
STORE_007,M&S Store 7,New Natalieland,South East
STORE_008,M&S Store 8,Shawshire,South East
STORE_009,M&S Store 9,West Francesca,South East
STORE_010,M&S Store 10,North Hughmouth,Midlands
STORE_011,M&S Store 11,Jonesburgh,South East
STORE_012,M&S Store 12,Scottmouth,Wales
STORE_013,M&S Store 13,Wayneton,London
STORE_014,M&S Store 14,Shawhaven,Wales
STORE_015,M&S Store 15,Antonymouth,Wales
STORE_016,M&S Store 16,Port Clareland,Scotland
STORE_017,M&S Store 17,South Glenn,Midlands
STORE_018,M&S Store 18,Barkerside,Scotland
STORE_019,M&S Store 19,Masonville,South East
STORE_020,M&S Store 20,Rosschester,Scotland
STORE_021,M&S Store 21,Staceyshire,North West
STORE_022,M&S Store 22,Port Nicola,North West
STORE_023,M&S Store 23,South Guytown,Yorkshire
STORE_024,M&S Store 24,Conwaytown,Wales
